Resource,Nesting,Resource Content Name,Flags,Cardinality,Datatype,Description
Resource,Resource, Resource ,,,n/a,Base Resource
Resource,Resource, id ,Σ,0..1,id,Logical id of this artifact
Resource,Resource, meta ,Σ,0..1,Meta,Metadata about the resource
Resource,Resource, implicitRules ,?! Σ,0..1,uri,A set of rules under which this content was created
Resource,Resource, language ,,0..1,code,Language of the resource contentLanguage  (Required)
DomainResource,Resource.DomainResource, DomainResource ,I,,Resource,"A resource with narrative, extensions, and contained resourcesIf a resource is contained in another resource, it SHALL NOT have a meta.versionId or a meta.lastUpdatedIf the resource is contained in another resource, it SHALL be referred to from elsewhere in the resourceIf the resource is contained in another resource, it SHALL NOT contain nested ResourcesIf the resource is contained in another resource, it SHALL NOT contain any narrative"
DomainResource,Resource.DomainResource, text ,I,0..1,Narrative,"Text summary of the resource, for human interpretation"
DomainResource,Resource.DomainResource, contained ,,0..*,Resource,"Contained, inline Resources"
DomainResource,Resource.DomainResource, extension ,,0..*,Extension,Additional Content defined by implementations
DomainResource,Resource.DomainResource, modifierExtension ,?!,0..*,Extension,Extensions that cannot be ignored
AllergyIntolerance,Resource.DomainResource.AllergyIntolerance, AllergyIntolerance ,,,DomainResource,Allergy or Intolerance (generally: Risk Of Adverse reaction to a substance)
AllergyIntolerance,Resource.DomainResource.AllergyIntolerance, identifier ,Σ,0..*,Identifier,External ids for this item
AllergyIntolerance,Resource.DomainResource.AllergyIntolerance, onset ,Σ,0..1,dateTime,Date(/time) when manifestations showed
AllergyIntolerance,Resource.DomainResource.AllergyIntolerance, recordedDate ,Σ,0..1,dateTime,When recorded
AllergyIntolerance,Resource.DomainResource.AllergyIntolerance, recorder ,Σ,0..1,Reference(Practitioner | Patient),Who recorded the sensitivity
AllergyIntolerance,Resource.DomainResource.AllergyIntolerance, patient ,Σ,1..1,Reference(Patient),Who the sensitivity is for
AllergyIntolerance,Resource.DomainResource.AllergyIntolerance, reporter ,Σ,0..1,Reference(Patient | RelatedPerson | Practitioner),Source of the information about the allergy
