Resource,Nesting,Resource Content Name,Flags,Cardinality,Datatype,Description
Resource,Resource, Resource ,N,,n/a,Base Resource
Resource,Resource, id ,Σ,0..1,id,Logical id of this artifact
Resource,Resource, meta ,Σ,0..1,Meta,Metadata about the resource
Resource,Resource, implicitRules ,?!Σ,0..1,uri,A set of rules under which this content was created
Resource,Resource, language ,,0..1,code,Language of the resource contentCommon Languages (Preferred but limited to AllLanguages)
DomainResource,Resource.DomainResource, DomainResource ,IN,,Resource,"A resource with narrative, extensions, and contained resources+ Rule: If the resource is contained in another resource, it SHALL NOT contain nested Resources+ Rule: If the resource is contained in another resource, it SHALL be referred to from elsewhere in the resource or SHALL refer to the containing resource+ Rule: If a resource is contained in another resource, it SHALL NOT have a meta.versionId or a meta.lastUpdated+ Rule: If a resource is contained in another resource, it SHALL NOT have a security label+ Guideline: A resource should have narrative for robust managementElements defined in Ancestors: id, meta, implicitRules, language"
DomainResource,Resource.DomainResource, text ,,0..1,Narrative,"Text summary of the resource, for human interpretation"
DomainResource,Resource.DomainResource, contained ,,0..*,Resource,"Contained, inline Resources"
DomainResource,Resource.DomainResource, extension ,,0..*,Extension,Additional content defined by implementations
DomainResource,Resource.DomainResource, modifierExtension ,?!,0..*,Extension,Extensions that cannot be ignored
CapabilityStatement,Resource.DomainResource.CapabilityStatement, CapabilityStatement ,IN,,DomainResource,"A statement of system capabilities+ Warning: Name should be usable as an identifier for the module by machine processing applications such as code generation+ Rule: A Capability Statement SHALL have at least one of REST, messaging or document element.+ Rule: A Capability Statement SHALL have at least one of description, software, or implementation element.+ Rule: Messaging end-point is required (and is only permitted) when a statement is for an implementation.+ Rule: The set of documents must be unique by the combination of profile and mode.+ Rule: If kind = instance, implementation must be present and software may be present+ Rule: If kind = capability, implementation must be absent, software must be present+ Rule: If kind = requirements, implementation and software must be absentElements defined in Ancestors: id, meta, implicitRules, language, text, contained, extension, modifierExtension"
CapabilityStatement,Resource.DomainResource.CapabilityStatement, url ,Σ,0..1,uri,"Canonical identifier for this capability statement, represented as a URI (globally unique)"
CapabilityStatement,Resource.DomainResource.CapabilityStatement, version ,Σ,0..1,string,Business version of the capability statement
CapabilityStatement,Resource.DomainResource.CapabilityStatement, name ,ΣI,0..1,string,Name for this capability statement (computer friendly)
CapabilityStatement,Resource.DomainResource.CapabilityStatement, title ,Σ,0..1,string,Name for this capability statement (human friendly)
CapabilityStatement,Resource.DomainResource.CapabilityStatement, status ,?!Σ,1..1,code,draft | active | retired | unknownPublicationStatus (Required)
CapabilityStatement,Resource.DomainResource.CapabilityStatement, experimental ,Σ,0..1,boolean,"For testing purposes, not real usage"
CapabilityStatement,Resource.DomainResource.CapabilityStatement, date ,Σ,1..1,dateTime,Date last changed
CapabilityStatement,Resource.DomainResource.CapabilityStatement, publisher ,Σ,0..1,string,Name of the publisher (organization or individual)
CapabilityStatement,Resource.DomainResource.CapabilityStatement, contact ,Σ,0..*,ContactDetail,Contact details for the publisher
CapabilityStatement,Resource.DomainResource.CapabilityStatement, description ,I,0..1,markdown,Natural language description of the capability statement
CapabilityStatement,Resource.DomainResource.CapabilityStatement, useContext ,ΣTU,0..*,UsageContext,The context that the content is intended to support
CapabilityStatement,Resource.DomainResource.CapabilityStatement, jurisdiction ,Σ,0..*,CodeableConcept,Intended jurisdiction for capability statement (if applicable)Jurisdiction (Extensible)
CapabilityStatement,Resource.DomainResource.CapabilityStatement, purpose ,,0..1,markdown,Why this capability statement is defined
CapabilityStatement,Resource.DomainResource.CapabilityStatement, copyright ,,0..1,markdown,Use and/or publishing restrictions
CapabilityStatement,Resource.DomainResource.CapabilityStatement, kind ,ΣI,1..1,code,instance | capability | requirementsCapabilityStatementKind (Required)
CapabilityStatement,Resource.DomainResource.CapabilityStatement, instantiates ,Σ,0..*,canonical(CapabilityStatement),Canonical URL of another capability statement this implements
CapabilityStatement,Resource.DomainResource.CapabilityStatement, imports ,ΣTU,0..*,canonical(CapabilityStatement),Canonical URL of another capability statement this adds to
CapabilityStatement,Resource.DomainResource.CapabilityStatement, software ,ΣI,0..1,BackboneElement,Software that is covered by this capability statement
CapabilityStatement,Resource.DomainResource.CapabilityStatement.software, name ,Σ,1..1,string,A name the software is known by
CapabilityStatement,Resource.DomainResource.CapabilityStatement.software, version ,Σ,0..1,string,Version covered by this statement
CapabilityStatement,Resource.DomainResource.CapabilityStatement.software, releaseDate ,Σ,0..1,dateTime,Date this version was released
CapabilityStatement,Resource.DomainResource.CapabilityStatement, implementation ,ΣI,0..1,BackboneElement,If this describes a specific instance
CapabilityStatement,Resource.DomainResource.CapabilityStatement.implementation, description ,Σ,1..1,string,Describes this specific instance
CapabilityStatement,Resource.DomainResource.CapabilityStatement.implementation, url ,Σ,0..1,url,Base URL for the installation
CapabilityStatement,Resource.DomainResource.CapabilityStatement.implementation, custodian ,ΣTU,0..1,Reference(Organization),Organization that manages the data
CapabilityStatement,Resource.DomainResource.CapabilityStatement, fhirVersion ,Σ,1..1,code,FHIR Version the system supportsFHIRVersion (Required)
CapabilityStatement,Resource.DomainResource.CapabilityStatement, format ,Σ,1..*,code,formats supported (xml | json | ttl | mime type)MimeType (Required)
CapabilityStatement,Resource.DomainResource.CapabilityStatement, patchFormat ,Σ,0..*,code,Patch formats supportedMimeType (Required)
CapabilityStatement,Resource.DomainResource.CapabilityStatement, implementationGuide ,Σ,0..*,canonical(ImplementationGuide),Implementation guides supported
CapabilityStatement,Resource.DomainResource.CapabilityStatement, rest ,ΣI,0..*,BackboneElement,If the endpoint is a RESTful one+ Rule: A given resource can only be described once per RESTful mode.
CapabilityStatement,Resource.DomainResource.CapabilityStatement.rest, mode ,Σ,1..1,code,client | serverRestfulCapabilityMode (Required)
CapabilityStatement,Resource.DomainResource.CapabilityStatement.rest, documentation ,,0..1,markdown,General description of implementation
CapabilityStatement,Resource.DomainResource.CapabilityStatement.rest, security ,ΣTU,0..1,BackboneElement,Information about security of implementation
CapabilityStatement,Resource.DomainResource.CapabilityStatement.rest.security, cors ,Σ,0..1,boolean,Adds CORS Headers (http://enable-cors.org/)
CapabilityStatement,Resource.DomainResource.CapabilityStatement.rest.security, service ,Σ,0..*,CodeableConcept,OAuth | SMART-on-FHIR | NTLM | Basic | Kerberos | CertificatesRestfulSecurityService (Extensible)
CapabilityStatement,Resource.DomainResource.CapabilityStatement.rest.security, description ,,0..1,markdown,General description of how security works
CapabilityStatement,Resource.DomainResource.CapabilityStatement.rest, resource ,ΣI,0..*,BackboneElement,Resource served on the REST interface+ Rule: Search parameter names must be unique in the context of a resource.
CapabilityStatement,Resource.DomainResource.CapabilityStatement.rest.resource, type ,Σ,1..1,code,A resource type that is supportedResourceType (Required)
CapabilityStatement,Resource.DomainResource.CapabilityStatement.rest.resource, profile ,Σ,0..1,canonical(StructureDefinition),Base System profile for all uses of resource
CapabilityStatement,Resource.DomainResource.CapabilityStatement.rest.resource, supportedProfile ,ΣTU,0..*,canonical(StructureDefinition),Profiles for use cases supported
CapabilityStatement,Resource.DomainResource.CapabilityStatement.rest.resource, documentation ,,0..1,markdown,Additional information about the use of the resource type
CapabilityStatement,Resource.DomainResource.CapabilityStatement.rest.resource, interaction ,,0..*,BackboneElement,What operations are supported?
CapabilityStatement,Resource.DomainResource.CapabilityStatement.rest.resource.interaction, code ,,1..1,code,read | vread | update | patch | delete | history-instance | history-type | create | search-typeTypeRestfulInteraction (Required)
CapabilityStatement,Resource.DomainResource.CapabilityStatement.rest.resource.interaction, documentation ,,0..1,markdown,Anything special about operation behavior
CapabilityStatement,Resource.DomainResource.CapabilityStatement.rest.resource, versioning ,TU,0..1,code,no-version | versioned | versioned-updateResourceVersionPolicy (Required)
CapabilityStatement,Resource.DomainResource.CapabilityStatement.rest.resource, readHistory ,TU,0..1,boolean,Whether vRead can return past versions
CapabilityStatement,Resource.DomainResource.CapabilityStatement.rest.resource, updateCreate ,TU,0..1,boolean,If update can commit to a new identity
CapabilityStatement,Resource.DomainResource.CapabilityStatement.rest.resource, conditionalCreate ,TU,0..1,boolean,If allows/uses conditional create
CapabilityStatement,Resource.DomainResource.CapabilityStatement.rest.resource, conditionalRead ,TU,0..1,code,not-supported | modified-since | not-match | full-supportConditionalReadStatus (Required)
CapabilityStatement,Resource.DomainResource.CapabilityStatement.rest.resource, conditionalUpdate ,TU,0..1,boolean,If allows/uses conditional update
CapabilityStatement,Resource.DomainResource.CapabilityStatement.rest.resource, conditionalDelete ,TU,0..1,code,not-supported | single | multiple - how conditional delete is supportedConditionalDeleteStatus (Required)
CapabilityStatement,Resource.DomainResource.CapabilityStatement.rest.resource, referencePolicy ,TU,0..*,code,literal | logical | resolves | enforced | localReferenceHandlingPolicy (Required)
CapabilityStatement,Resource.DomainResource.CapabilityStatement.rest.resource, searchInclude ,TU,0..*,string,_include values supported by the server
CapabilityStatement,Resource.DomainResource.CapabilityStatement.rest.resource, searchRevInclude ,TU,0..*,string,_revinclude values supported by the server
CapabilityStatement,Resource.DomainResource.CapabilityStatement.rest.resource, searchParam ,,0..*,BackboneElement,Search parameters supported by implementation
CapabilityStatement,Resource.DomainResource.CapabilityStatement.rest.resource.searchParam, name ,,1..1,string,Name of search parameter
CapabilityStatement,Resource.DomainResource.CapabilityStatement.rest.resource.searchParam, definition ,,0..1,canonical(SearchParameter),Source of definition for parameter
CapabilityStatement,Resource.DomainResource.CapabilityStatement.rest.resource.searchParam, type ,,1..1,code,number | date | string | token | reference | composite | quantity | uri | specialSearchParamType (Required)
