Resource,Nesting,Resource Content Name,Flags,Cardinality,Datatype,Description
Resource,Resource, Resource ,,,n/a,Base Resource
Resource,Resource, id ,Σ,0..1,id,Logical id of this artifact
Resource,Resource, meta ,Σ,0..1,Meta,Metadata about the resource
Resource,Resource, implicitRules ,?!Σ,0..1,uri,A set of rules under which this content was created
Resource,Resource, language ,,0..1,code,Language of the resource contentCommon Languages (Extensible but limited to All Languages)
DomainResource,Resource.DomainResource, DomainResource ,I,,Resource,"A resource with narrative, extensions, and contained resources+ If the resource is contained in another resource, it SHALL NOT contain nested Resources+ If the resource is contained in another resource, it SHALL NOT contain any narrative+ If a resource is contained in another resource, it SHALL NOT have a meta.versionId or a meta.lastUpdated+ If the resource is contained in another resource, it SHALL be referred to from elsewhere in the resourceElements defined in Ancestors: id, meta, implicitRules, language"
DomainResource,Resource.DomainResource, text ,I,0..1,Narrative,"Text summary of the resource, for human interpretation"
DomainResource,Resource.DomainResource, contained ,,0..*,Resource,"Contained, inline Resources"
DomainResource,Resource.DomainResource, extension ,,0..*,Extension,Additional Content defined by implementations
DomainResource,Resource.DomainResource, modifierExtension ,?!,0..*,Extension,Extensions that cannot be ignored
Account,Resource.DomainResource.Account, Account ,,,DomainResource,"Tracks balance, charges, for patient or cost centerElements defined in Ancestors: id, meta, implicitRules, language, text, contained, extension, modifierExtension"
Account,Resource.DomainResource.Account, identifier ,Σ,0..*,Identifier,Account number
Account,Resource.DomainResource.Account, status ,?!Σ,0..1,code,active | inactive | entered-in-errorAccountStatus (Required)
Account,Resource.DomainResource.Account, type ,Σ,0..1,CodeableConcept,"E.g. patient, expense, depreciationAccount Types (Example)"
Account,Resource.DomainResource.Account, name ,Σ,0..1,string,Human-readable label
Account,Resource.DomainResource.Account, subject ,Σ,0..1,Reference(Patient | Device | Practitioner | Location | HealthcareService | Organization),What is account tied to?
Account,Resource.DomainResource.Account, period ,Σ,0..1,Period,Transaction window
Account,Resource.DomainResource.Account, active ,Σ,0..1,Period,Time window that transactions may be posted to this account
Account,Resource.DomainResource.Account, balance ,,0..1,Money,How much is in account?
