Resource,Nesting,Resource Content Name,Flags,Cardinality,Datatype,Description
"=HYPERLINK(""https://www.hl7.org/fhir/STU3/Resource.html"",""Resource"")",Resource, Resource ,,,n/a,Base Resource
"=HYPERLINK(""https://www.hl7.org/fhir/STU3/Resource.html"",""Resource"")",Resource, id ,Σ,0..1,id,Logical id of this artifact
"=HYPERLINK(""https://www.hl7.org/fhir/STU3/Resource.html"",""Resource"")",Resource, meta ,Σ,0..1,Meta,Metadata about the resource
"=HYPERLINK(""https://www.hl7.org/fhir/STU3/Resource.html"",""Resource"")",Resource, implicitRules ,?!Σ,0..1,uri,A set of rules under which this content was created
"=HYPERLINK(""https://www.hl7.org/fhir/STU3/Resource.html"",""Resource"")",Resource, language ,,0..1,code,Language of the resource contentCommon Languages (Extensible but limited to All Languages)
"=HYPERLINK(""https://www.hl7.org/fhir/STU3/DomainResource.html"",""DomainResource"")",Resource.DomainResource, DomainResource ,I,,Resource,"A resource with narrative, extensions, and contained resources+ If the resource is contained in another resource, it SHALL NOT contain nested Resources+ If the resource is contained in another resource, it SHALL NOT contain any narrative+ If a resource is contained in another resource, it SHALL NOT have a meta.versionId or a meta.lastUpdated+ If the resource is contained in another resource, it SHALL be referred to from elsewhere in the resourceElements defined in Ancestors: id, meta, implicitRules, language"
"=HYPERLINK(""https://www.hl7.org/fhir/STU3/DomainResource.html"",""DomainResource"")",Resource.DomainResource, text ,I,0..1,Narrative,"Text summary of the resource, for human interpretation"
"=HYPERLINK(""https://www.hl7.org/fhir/STU3/DomainResource.html"",""DomainResource"")",Resource.DomainResource, contained ,,0..*,Resource,"Contained, inline Resources"
"=HYPERLINK(""https://www.hl7.org/fhir/STU3/DomainResource.html"",""DomainResource"")",Resource.DomainResource, extension ,,0..*,Extension,Additional Content defined by implementations
"=HYPERLINK(""https://www.hl7.org/fhir/STU3/DomainResource.html"",""DomainResource"")",Resource.DomainResource, modifierExtension ,?!,0..*,Extension,Extensions that cannot be ignored
"=HYPERLINK(""https://www.hl7.org/fhir/STU3/Account.html"",""Account"")",Resource.DomainResource.Account, Account ,,,DomainResource,"Tracks balance, charges, for patient or cost centerElements defined in Ancestors: id, meta, implicitRules, language, text, contained, extension, modifierExtension"
"=HYPERLINK(""https://www.hl7.org/fhir/STU3/Account.html"",""Account"")",Resource.DomainResource.Account, identifier ,Σ,0..*,Identifier,Account number
"=HYPERLINK(""https://www.hl7.org/fhir/STU3/Account.html"",""Account"")",Resource.DomainResource.Account, status ,?!Σ,0..1,code,active | inactive | entered-in-errorAccountStatus (Required)
"=HYPERLINK(""https://www.hl7.org/fhir/STU3/Account.html"",""Account"")",Resource.DomainResource.Account, type ,Σ,0..1,CodeableConcept,"E.g. patient, expense, depreciationAccount Types (Example)"
"=HYPERLINK(""https://www.hl7.org/fhir/STU3/Account.html"",""Account"")",Resource.DomainResource.Account, name ,Σ,0..1,string,Human-readable label
"=HYPERLINK(""https://www.hl7.org/fhir/STU3/Account.html"",""Account"")",Resource.DomainResource.Account, subject ,Σ,0..1,Reference(Patient | Device | Practitioner | Location | HealthcareService | Organization),What is account tied to?
"=HYPERLINK(""https://www.hl7.org/fhir/STU3/Account.html"",""Account"")",Resource.DomainResource.Account, period ,Σ,0..1,Period,Transaction window
"=HYPERLINK(""https://www.hl7.org/fhir/STU3/Account.html"",""Account"")",Resource.DomainResource.Account, active ,Σ,0..1,Period,Time window that transactions may be posted to this account
"=HYPERLINK(""https://www.hl7.org/fhir/STU3/Account.html"",""Account"")",Resource.DomainResource.Account, balance ,,0..1,Money,How much is in account?
"=HYPERLINK(""https://www.hl7.org/fhir/STU3/Account.html"",""Account"")",Resource.DomainResource.Account, coverage ,Σ,0..*,BackboneElement,"The party(s) that are responsible for covering the payment of this account, and what order should they be applied to the account"
"=HYPERLINK(""https://www.hl7.org/fhir/STU3/Account.html"",""Account"")",Resource.DomainResource.Account, coverage ,Σ,1..1,Reference(Coverage),The party(s) that are responsible for covering the payment of this account
"=HYPERLINK(""https://www.hl7.org/fhir/STU3/Account.html"",""Account"")",Resource.DomainResource.Account.coverage, priority ,Σ,0..1,positiveInt,The priority of the coverage in the context of this account
"=HYPERLINK(""https://www.hl7.org/fhir/STU3/Account.html"",""Account"")",Resource.DomainResource.Account, owner ,Σ,0..1,Reference(Organization),Who is responsible?
"=HYPERLINK(""https://www.hl7.org/fhir/STU3/Account.html"",""Account"")",Resource.DomainResource.Account, description ,Σ,0..1,string,Explanation of purpose/use
"=HYPERLINK(""https://www.hl7.org/fhir/STU3/Account.html"",""Account"")",Resource.DomainResource.Account, guarantor ,,0..*,BackboneElement,Responsible for the account
"=HYPERLINK(""https://www.hl7.org/fhir/STU3/Account.html"",""Account"")",Resource.DomainResource.Account.guarantor, party ,,1..1,Reference(Patient | RelatedPerson | Organization),Responsible entity
"=HYPERLINK(""https://www.hl7.org/fhir/STU3/Account.html"",""Account"")",Resource.DomainResource.Account.guarantor, onHold ,,0..1,boolean,Credit or other hold applied
"=HYPERLINK(""https://www.hl7.org/fhir/STU3/Account.html"",""Account"")",Resource.DomainResource.Account.guarantor, period ,,0..1,Period,Guarrantee account during
"=HYPERLINK(""https://www.hl7.org/fhir/STU3/ActivityDefinition.html"",""ActivityDefinition"")",Resource.DomainResource.ActivityDefinition, ActivityDefinition ,,,DomainResource,"The definition of a specific activity to be taken, independent of any particular patient or contextElements defined in Ancestors: id, meta, implicitRules, language, text, contained, extension, modifierExtension"
"=HYPERLINK(""https://www.hl7.org/fhir/STU3/ActivityDefinition.html"",""ActivityDefinition"")",Resource.DomainResource.ActivityDefinition, url ,Σ,0..1,uri,Logical URI to reference this activity definition (globally unique)
"=HYPERLINK(""https://www.hl7.org/fhir/STU3/ActivityDefinition.html"",""ActivityDefinition"")",Resource.DomainResource.ActivityDefinition, identifier ,Σ,0..*,Identifier,Additional identifier for the activity definition
"=HYPERLINK(""https://www.hl7.org/fhir/STU3/ActivityDefinition.html"",""ActivityDefinition"")",Resource.DomainResource.ActivityDefinition, version ,Σ,0..1,string,Business version of the activity definition
