Resource,Nesting,Resource Content Name,Flags,Cardinality,Datatype,Description
AllergyIntolerance,AllergyIntolerance.id,id,Σ,0..1,id,Logical id of this artifact
AllergyIntolerance,AllergyIntolerance.meta,meta,Σ,0..1,Meta,Metadata about the resource
AllergyIntolerance,AllergyIntolerance.implicitRules,implicitRules,?! Σ,0..1,uri,A set of rules under which this content was created
AllergyIntolerance,AllergyIntolerance.language,language,,0..1,code,Language of the resource contentLanguage  (Required)
AllergyIntolerance,AllergyIntolerance.text,text,I,0..1,Narrative,"Text summary of the resource, for human interpretation"
AllergyIntolerance,AllergyIntolerance.contained,contained,,0..*,Resource,"Contained, inline Resources"
AllergyIntolerance,AllergyIntolerance.extension,extension,,0..*,Extension,Additional Content defined by implementations
AllergyIntolerance,AllergyIntolerance.modifierExtension,modifierExtension,?!,0..*,Extension,Extensions that cannot be ignored
AllergyIntolerance,AllergyIntolerance,AllergyIntolerance,,,DomainResource,Allergy or Intolerance (generally: Risk Of Adverse reaction to a substance)
AllergyIntolerance,AllergyIntolerance.identifier,identifier,Σ,0..*,Identifier,External ids for this item
AllergyIntolerance,AllergyIntolerance.onset,onset,Σ,0..1,dateTime,Date(/time) when manifestations showed
AllergyIntolerance,AllergyIntolerance.recordedDate,recordedDate,Σ,0..1,dateTime,When recorded
AllergyIntolerance,AllergyIntolerance.recorder,recorder,Σ,0..1,Reference(Practitioner | Patient),Who recorded the sensitivity
AllergyIntolerance,AllergyIntolerance.patient,patient,Σ,1..1,Reference(Patient),Who the sensitivity is for
AllergyIntolerance,AllergyIntolerance.reporter,reporter,Σ,0..1,Reference(Patient | RelatedPerson | Practitioner),Source of the information about the allergy
AllergyIntolerance,AllergyIntolerance.substance,substance,Σ,1..1,CodeableConcept,"Substance, (or class) considered to be responsible for riskAllergyIntolerance Substance and Negation Codes (Example)"
AllergyIntolerance,AllergyIntolerance.status,status,?! Σ,0..1,code,active | unconfirmed | confirmed | inactive | resolved | refuted | entered-in-errorAllergyIntoleranceStatus (Required)
AllergyIntolerance,AllergyIntolerance.criticality,criticality,Σ,0..1,code,CRITL | CRITH | CRITUAllergyIntoleranceCriticality (Required)
AllergyIntolerance,AllergyIntolerance.type,type,Σ,0..1,code,allergy | intolerance - Underlying mechanism (if known)AllergyIntoleranceType (Required)
AllergyIntolerance,AllergyIntolerance.category,category,Σ,0..1,code,food | medication | environment | other - Category of SubstanceAllergyIntoleranceCategory (Required)
AllergyIntolerance,AllergyIntolerance.lastOccurence,lastOccurence,Σ,0..1,dateTime,Date(/time) of last known occurrence of a reaction
AllergyIntolerance,AllergyIntolerance.note,note,,0..1,Annotation,Additional text not captured in other fields
AllergyIntolerance,AllergyIntolerance.reaction,reaction,,0..*,BackboneElement,Adverse Reaction Events linked to exposure to substance
AllergyIntolerance,AllergyIntolerance.reaction.substance,substance,Σ,0..1,CodeableConcept,Specific substance considered to be responsible for eventSubstance Code (Example)
AllergyIntolerance,AllergyIntolerance.reaction.certainty,certainty,Σ,0..1,code,unlikely | likely | confirmed - clinical certainty about the specific substanceAllergyIntoleranceCertainty (Required)
AllergyIntolerance,AllergyIntolerance.reaction.manifestation,manifestation,Σ,1..*,CodeableConcept,Clinical symptoms/signs associated with the EventSNOMED CT Clinical Findings (Example)
AllergyIntolerance,AllergyIntolerance.reaction.description,description,,0..1,string,Description of the event as a whole
AllergyIntolerance,AllergyIntolerance.reaction.onset,onset,Σ,0..1,dateTime,Date(/time) when manifestations showed
AllergyIntolerance,AllergyIntolerance.reaction.severity,severity,Σ,0..1,code,mild | moderate | severe (of event as a whole)AllergyIntoleranceSeverity (Required)
AllergyIntolerance,AllergyIntolerance.reaction.exposureRoute,exposureRoute,Σ,0..1,CodeableConcept,How the subject was exposed to the substanceSNOMED CT Route Codes (Example)
AllergyIntolerance,AllergyIntolerance.reaction.note,note,,0..1,Annotation,Text about event not captured in other fields
Appointment,Appointment.id,id,Σ,0..1,id,Logical id of this artifact
