Resource,Nesting,Resource Content Name,Flags,Cardinality,Datatype,Description
"=HYPERLINK(""https://www.hl7.org/fhir/DSTU2/AllergyIntolerance.html"",""AllergyIntolerance"")",AllergyIntolerance.id,id,Σ,0..1,id,Logical id of this artifact
"=HYPERLINK(""https://www.hl7.org/fhir/DSTU2/AllergyIntolerance.html"",""AllergyIntolerance"")",AllergyIntolerance.meta,meta,Σ,0..1,Meta,Metadata about the resource
"=HYPERLINK(""https://www.hl7.org/fhir/DSTU2/AllergyIntolerance.html"",""AllergyIntolerance"")",AllergyIntolerance.implicitRules,implicitRules,?! Σ,0..1,uri,A set of rules under which this content was created
"=HYPERLINK(""https://www.hl7.org/fhir/DSTU2/AllergyIntolerance.html"",""AllergyIntolerance"")",AllergyIntolerance.language,language,,0..1,code,Language of the resource contentLanguage  (Required)
"=HYPERLINK(""https://www.hl7.org/fhir/DSTU2/AllergyIntolerance.html"",""AllergyIntolerance"")",AllergyIntolerance.text,text,I,0..1,Narrative,"Text summary of the resource, for human interpretation"
"=HYPERLINK(""https://www.hl7.org/fhir/DSTU2/AllergyIntolerance.html"",""AllergyIntolerance"")",AllergyIntolerance.contained,contained,,0..*,Resource,"Contained, inline Resources"
"=HYPERLINK(""https://www.hl7.org/fhir/DSTU2/AllergyIntolerance.html"",""AllergyIntolerance"")",AllergyIntolerance.extension,extension,,0..*,Extension,Additional Content defined by implementations
"=HYPERLINK(""https://www.hl7.org/fhir/DSTU2/AllergyIntolerance.html"",""AllergyIntolerance"")",AllergyIntolerance.modifierExtension,modifierExtension,?!,0..*,Extension,Extensions that cannot be ignored
"=HYPERLINK(""https://www.hl7.org/fhir/DSTU2/AllergyIntolerance.html"",""AllergyIntolerance"")",AllergyIntolerance,AllergyIntolerance,,,DomainResource,Allergy or Intolerance (generally: Risk Of Adverse reaction to a substance)
"=HYPERLINK(""https://www.hl7.org/fhir/DSTU2/AllergyIntolerance.html"",""AllergyIntolerance"")",AllergyIntolerance.identifier,identifier,Σ,0..*,Identifier,External ids for this item
"=HYPERLINK(""https://www.hl7.org/fhir/DSTU2/AllergyIntolerance.html"",""AllergyIntolerance"")",AllergyIntolerance.onset,onset,Σ,0..1,dateTime,Date(/time) when manifestations showed
"=HYPERLINK(""https://www.hl7.org/fhir/DSTU2/AllergyIntolerance.html"",""AllergyIntolerance"")",AllergyIntolerance.recordedDate,recordedDate,Σ,0..1,dateTime,When recorded
"=HYPERLINK(""https://www.hl7.org/fhir/DSTU2/AllergyIntolerance.html"",""AllergyIntolerance"")",AllergyIntolerance.recorder,recorder,Σ,0..1,Reference(Practitioner | Patient),Who recorded the sensitivity
