Resource,Nesting,Resource Content Name,Flags,Cardinality,Datatype,Description
"=HYPERLINK(""https://www.hl7.org/fhir/R4/CapabilityStatement.html"",""CapabilityStatement"")",CapabilityStatement.id,id,Σ,0..1,id,Logical id of this artifact
"=HYPERLINK(""https://www.hl7.org/fhir/R4/CapabilityStatement.html"",""CapabilityStatement"")",CapabilityStatement.meta,meta,Σ,0..1,Meta,Metadata about the resource
"=HYPERLINK(""https://www.hl7.org/fhir/R4/CapabilityStatement.html"",""CapabilityStatement"")",CapabilityStatement.implicitRules,implicitRules,?! Σ,0..1,uri,A set of rules under which this content was created
"=HYPERLINK(""https://www.hl7.org/fhir/R4/CapabilityStatement.html"",""CapabilityStatement"")",CapabilityStatement.language,language,,0..1,code,Language of the resource contentLanguage  (Required)
"=HYPERLINK(""https://www.hl7.org/fhir/R4/CapabilityStatement.html"",""CapabilityStatement"")",CapabilityStatement.text,text,I,0..1,Narrative,"Text summary of the resource, for human interpretation"
"=HYPERLINK(""https://www.hl7.org/fhir/R4/CapabilityStatement.html"",""CapabilityStatement"")",CapabilityStatement.contained,contained,,0..*,Resource,"Contained, inline Resources"
"=HYPERLINK(""https://www.hl7.org/fhir/R4/CapabilityStatement.html"",""CapabilityStatement"")",CapabilityStatement.extension,extension,,0..*,Extension,Additional Content defined by implementations
"=HYPERLINK(""https://www.hl7.org/fhir/R4/CapabilityStatement.html"",""CapabilityStatement"")",CapabilityStatement.modifierExtension,modifierExtension,?!,0..*,Extension,Extensions that cannot be ignored
"=HYPERLINK(""https://www.hl7.org/fhir/R4/CapabilityStatement.html"",""CapabilityStatement"")",CapabilityStatement,CapabilityStatement,IN,,DomainResource,"A statement of system capabilities+ Warning: Name should be usable as an identifier for the module by machine processing applications such as code generation+ Rule: A Capability Statement SHALL have at least one of REST, messaging or document element.+ Rule: A Capability Statement SHALL have at least one of description, software, or implementation element.+ Rule: Messaging end-point is required (and is only permitted) when a statement is for an implementation.+ Rule: The set of documents must be unique by the combination of profile and mode.+ Rule: If kind = instance, implementation must be present and software may be present+ Rule: If kind = capability, implementation must be absent, software must be present+ Rule: If kind = requirements, implementation and software must be absentElements defined in Ancestors: id, meta, implicitRules, language, text, contained, extension, modifierExtension"
"=HYPERLINK(""https://www.hl7.org/fhir/R4/CapabilityStatement.html"",""CapabilityStatement"")",CapabilityStatement.url,url,Σ,0..1,uri,"Canonical identifier for this capability statement, represented as a URI (globally unique)"
"=HYPERLINK(""https://www.hl7.org/fhir/R4/CapabilityStatement.html"",""CapabilityStatement"")",CapabilityStatement.version,version,Σ,0..1,string,Business version of the capability statement
"=HYPERLINK(""https://www.hl7.org/fhir/R4/CapabilityStatement.html"",""CapabilityStatement"")",CapabilityStatement.name,name,ΣI,0..1,string,Name for this capability statement (computer friendly)
"=HYPERLINK(""https://www.hl7.org/fhir/R4/CapabilityStatement.html"",""CapabilityStatement"")",CapabilityStatement.title,title,Σ,0..1,string,Name for this capability statement (human friendly)
"=HYPERLINK(""https://www.hl7.org/fhir/R4/CapabilityStatement.html"",""CapabilityStatement"")",CapabilityStatement.status,status,?!Σ,1..1,code,draft | active | retired | unknownPublicationStatus (Required)
"=HYPERLINK(""https://www.hl7.org/fhir/R4/CapabilityStatement.html"",""CapabilityStatement"")",CapabilityStatement.experimental,experimental,Σ,0..1,boolean,"For testing purposes, not real usage"
"=HYPERLINK(""https://www.hl7.org/fhir/R4/CapabilityStatement.html"",""CapabilityStatement"")",CapabilityStatement.date,date,Σ,1..1,dateTime,Date last changed
"=HYPERLINK(""https://www.hl7.org/fhir/R4/CapabilityStatement.html"",""CapabilityStatement"")",CapabilityStatement.publisher,publisher,Σ,0..1,string,Name of the publisher (organization or individual)
"=HYPERLINK(""https://www.hl7.org/fhir/R4/CapabilityStatement.html"",""CapabilityStatement"")",CapabilityStatement.contact,contact,Σ,0..*,ContactDetail,Contact details for the publisher
"=HYPERLINK(""https://www.hl7.org/fhir/R4/CapabilityStatement.html"",""CapabilityStatement"")",CapabilityStatement.description,description,I,0..1,markdown,Natural language description of the capability statement
"=HYPERLINK(""https://www.hl7.org/fhir/R4/CapabilityStatement.html"",""CapabilityStatement"")",CapabilityStatement.useContext,useContext,ΣTU,0..*,UsageContext,The context that the content is intended to support
"=HYPERLINK(""https://www.hl7.org/fhir/R4/CapabilityStatement.html"",""CapabilityStatement"")",CapabilityStatement.jurisdiction,jurisdiction,Σ,0..*,CodeableConcept,Intended jurisdiction for capability statement (if applicable)Jurisdiction (Extensible)
"=HYPERLINK(""https://www.hl7.org/fhir/R4/CapabilityStatement.html"",""CapabilityStatement"")",CapabilityStatement.purpose,purpose,,0..1,markdown,Why this capability statement is defined
"=HYPERLINK(""https://www.hl7.org/fhir/R4/CapabilityStatement.html"",""CapabilityStatement"")",CapabilityStatement.copyright,copyright,,0..1,markdown,Use and/or publishing restrictions
"=HYPERLINK(""https://www.hl7.org/fhir/R4/CapabilityStatement.html"",""CapabilityStatement"")",CapabilityStatement.kind,kind,ΣI,1..1,code,instance | capability | requirementsCapabilityStatementKind (Required)
"=HYPERLINK(""https://www.hl7.org/fhir/R4/CapabilityStatement.html"",""CapabilityStatement"")",CapabilityStatement.instantiates,instantiates,Σ,0..*,canonical(CapabilityStatement),Canonical URL of another capability statement this implements
"=HYPERLINK(""https://www.hl7.org/fhir/R4/CapabilityStatement.html"",""CapabilityStatement"")",CapabilityStatement.imports,imports,ΣTU,0..*,canonical(CapabilityStatement),Canonical URL of another capability statement this adds to
"=HYPERLINK(""https://www.hl7.org/fhir/R4/CapabilityStatement.html"",""CapabilityStatement"")",CapabilityStatement.software,software,ΣI,0..1,BackboneElement,Software that is covered by this capability statement
"=HYPERLINK(""https://www.hl7.org/fhir/R4/CapabilityStatement.html"",""CapabilityStatement"")",CapabilityStatement.software.name,name,Σ,1..1,string,A name the software is known by
"=HYPERLINK(""https://www.hl7.org/fhir/R4/CapabilityStatement.html"",""CapabilityStatement"")",CapabilityStatement.software.version,version,Σ,0..1,string,Version covered by this statement
"=HYPERLINK(""https://www.hl7.org/fhir/R4/CapabilityStatement.html"",""CapabilityStatement"")",CapabilityStatement.software.releaseDate,releaseDate,Σ,0..1,dateTime,Date this version was released
"=HYPERLINK(""https://www.hl7.org/fhir/R4/CapabilityStatement.html"",""CapabilityStatement"")",CapabilityStatement.implementation,implementation,ΣI,0..1,BackboneElement,If this describes a specific instance
"=HYPERLINK(""https://www.hl7.org/fhir/R4/CapabilityStatement.html"",""CapabilityStatement"")",CapabilityStatement.implementation.description,description,Σ,1..1,string,Describes this specific instance
"=HYPERLINK(""https://www.hl7.org/fhir/R4/CapabilityStatement.html"",""CapabilityStatement"")",CapabilityStatement.implementation.url,url,Σ,0..1,url,Base URL for the installation
"=HYPERLINK(""https://www.hl7.org/fhir/R4/CapabilityStatement.html"",""CapabilityStatement"")",CapabilityStatement.implementation.custodian,custodian,ΣTU,0..1,Reference(Organization),Organization that manages the data
"=HYPERLINK(""https://www.hl7.org/fhir/R4/CapabilityStatement.html"",""CapabilityStatement"")",CapabilityStatement.fhirVersion,fhirVersion,Σ,1..1,code,FHIR Version the system supportsFHIRVersion (Required)
"=HYPERLINK(""https://www.hl7.org/fhir/R4/CapabilityStatement.html"",""CapabilityStatement"")",CapabilityStatement.format,format,Σ,1..*,code,formats supported (xml | json | ttl | mime type)MimeType (Required)
"=HYPERLINK(""https://www.hl7.org/fhir/R4/CapabilityStatement.html"",""CapabilityStatement"")",CapabilityStatement.patchFormat,patchFormat,Σ,0..*,code,Patch formats supportedMimeType (Required)
"=HYPERLINK(""https://www.hl7.org/fhir/R4/CapabilityStatement.html"",""CapabilityStatement"")",CapabilityStatement.implementationGuide,implementationGuide,Σ,0..*,canonical(ImplementationGuide),Implementation guides supported
"=HYPERLINK(""https://www.hl7.org/fhir/R4/CapabilityStatement.html"",""CapabilityStatement"")",CapabilityStatement.rest,rest,ΣI,0..*,BackboneElement,If the endpoint is a RESTful one+ Rule: A given resource can only be described once per RESTful mode.
"=HYPERLINK(""https://www.hl7.org/fhir/R4/CapabilityStatement.html"",""CapabilityStatement"")",CapabilityStatement.rest.mode,mode,Σ,1..1,code,client | serverRestfulCapabilityMode (Required)
"=HYPERLINK(""https://www.hl7.org/fhir/R4/CapabilityStatement.html"",""CapabilityStatement"")",CapabilityStatement.rest.documentation,documentation,,0..1,markdown,General description of implementation
"=HYPERLINK(""https://www.hl7.org/fhir/R4/CapabilityStatement.html"",""CapabilityStatement"")",CapabilityStatement.rest.security,security,ΣTU,0..1,BackboneElement,Information about security of implementation
"=HYPERLINK(""https://www.hl7.org/fhir/R4/CapabilityStatement.html"",""CapabilityStatement"")",CapabilityStatement.rest.security.cors,cors,Σ,0..1,boolean,Adds CORS Headers (http://enable-cors.org/)
"=HYPERLINK(""https://www.hl7.org/fhir/R4/CapabilityStatement.html"",""CapabilityStatement"")",CapabilityStatement.rest.security.service,service,Σ,0..*,CodeableConcept,OAuth | SMART-on-FHIR | NTLM | Basic | Kerberos | CertificatesRestfulSecurityService (Extensible)
"=HYPERLINK(""https://www.hl7.org/fhir/R4/CapabilityStatement.html"",""CapabilityStatement"")",CapabilityStatement.rest.security.description,description,,0..1,markdown,General description of how security works
"=HYPERLINK(""https://www.hl7.org/fhir/R4/CapabilityStatement.html"",""CapabilityStatement"")",CapabilityStatement.rest.resource,resource,ΣI,0..*,BackboneElement,Resource served on the REST interface+ Rule: Search parameter names must be unique in the context of a resource.
"=HYPERLINK(""https://www.hl7.org/fhir/R4/CapabilityStatement.html"",""CapabilityStatement"")",CapabilityStatement.rest.resource.type,type,Σ,1..1,code,A resource type that is supportedResourceType (Required)
"=HYPERLINK(""https://www.hl7.org/fhir/R4/CapabilityStatement.html"",""CapabilityStatement"")",CapabilityStatement.rest.resource.profile,profile,Σ,0..1,canonical(StructureDefinition),Base System profile for all uses of resource
"=HYPERLINK(""https://www.hl7.org/fhir/R4/CapabilityStatement.html"",""CapabilityStatement"")",CapabilityStatement.rest.resource.supportedProfile,supportedProfile,ΣTU,0..*,canonical(StructureDefinition),Profiles for use cases supported
"=HYPERLINK(""https://www.hl7.org/fhir/R4/CapabilityStatement.html"",""CapabilityStatement"")",CapabilityStatement.rest.resource.documentation,documentation,,0..1,markdown,Additional information about the use of the resource type
"=HYPERLINK(""https://www.hl7.org/fhir/R4/CapabilityStatement.html"",""CapabilityStatement"")",CapabilityStatement.rest.resource.interaction,interaction,,0..*,BackboneElement,What operations are supported?
