Resource,Nesting,Resource Content Name,Flags,Cardinality,Datatype,Description
"=HYPERLINK(""https://www.hl7.org/fhir/STU3/Account.html"",""Account"")",Account.id,id,Σ,0..1,id,Logical id of this artifact
"=HYPERLINK(""https://www.hl7.org/fhir/STU3/Account.html"",""Account"")",Account.meta,meta,Σ,0..1,Meta,Metadata about the resource
"=HYPERLINK(""https://www.hl7.org/fhir/STU3/Account.html"",""Account"")",Account.implicitRules,implicitRules,?! Σ,0..1,uri,A set of rules under which this content was created
"=HYPERLINK(""https://www.hl7.org/fhir/STU3/Account.html"",""Account"")",Account.language,language,,0..1,code,Language of the resource contentLanguage  (Required)
"=HYPERLINK(""https://www.hl7.org/fhir/STU3/Account.html"",""Account"")",Account.text,text,I,0..1,Narrative,"Text summary of the resource, for human interpretation"
"=HYPERLINK(""https://www.hl7.org/fhir/STU3/Account.html"",""Account"")",Account.contained,contained,,0..*,Resource,"Contained, inline Resources"
"=HYPERLINK(""https://www.hl7.org/fhir/STU3/Account.html"",""Account"")",Account.extension,extension,,0..*,Extension,Additional Content defined by implementations
"=HYPERLINK(""https://www.hl7.org/fhir/STU3/Account.html"",""Account"")",Account.modifierExtension,modifierExtension,?!,0..*,Extension,Extensions that cannot be ignored
"=HYPERLINK(""https://www.hl7.org/fhir/STU3/Account.html"",""Account"")",Account,Account,,,DomainResource,"Tracks balance, charges, for patient or cost centerElements defined in Ancestors: id, meta, implicitRules, language, text, contained, extension, modifierExtension"
"=HYPERLINK(""https://www.hl7.org/fhir/STU3/Account.html"",""Account"")",Account.identifier,identifier,Σ,0..*,Identifier,Account number
"=HYPERLINK(""https://www.hl7.org/fhir/STU3/Account.html"",""Account"")",Account.status,status,?!Σ,0..1,code,active | inactive | entered-in-errorAccountStatus (Required)
"=HYPERLINK(""https://www.hl7.org/fhir/STU3/Account.html"",""Account"")",Account.type,type,Σ,0..1,CodeableConcept,"E.g. patient, expense, depreciationAccount Types (Example)"
"=HYPERLINK(""https://www.hl7.org/fhir/STU3/Account.html"",""Account"")",Account.name,name,Σ,0..1,string,Human-readable label
"=HYPERLINK(""https://www.hl7.org/fhir/STU3/Account.html"",""Account"")",Account.subject,subject,Σ,0..1,Reference(Patient | Device | Practitioner | Location | HealthcareService | Organization),What is account tied to?
"=HYPERLINK(""https://www.hl7.org/fhir/STU3/Account.html"",""Account"")",Account.period,period,Σ,0..1,Period,Transaction window
"=HYPERLINK(""https://www.hl7.org/fhir/STU3/Account.html"",""Account"")",Account.active,active,Σ,0..1,Period,Time window that transactions may be posted to this account
"=HYPERLINK(""https://www.hl7.org/fhir/STU3/Account.html"",""Account"")",Account.balance,balance,,0..1,Money,How much is in account?
"=HYPERLINK(""https://www.hl7.org/fhir/STU3/Account.html"",""Account"")",Account.coverage,coverage,Σ,0..*,BackboneElement,"The party(s) that are responsible for covering the payment of this account, and what order should they be applied to the account"
"=HYPERLINK(""https://www.hl7.org/fhir/STU3/Account.html"",""Account"")",Account.coverage.coverage,coverage,Σ,1..1,Reference(Coverage),The party(s) that are responsible for covering the payment of this account
"=HYPERLINK(""https://www.hl7.org/fhir/STU3/Account.html"",""Account"")",Account.coverage.priority,priority,Σ,0..1,positiveInt,The priority of the coverage in the context of this account
"=HYPERLINK(""https://www.hl7.org/fhir/STU3/Account.html"",""Account"")",Account.owner,owner,Σ,0..1,Reference(Organization),Who is responsible?
"=HYPERLINK(""https://www.hl7.org/fhir/STU3/Account.html"",""Account"")",Account.description,description,Σ,0..1,string,Explanation of purpose/use
