Resource,Nesting,Resource Content Name,Flags,Cardinality,Datatype,Description
StructureDefinition-C4BB-Coverage,StructureDefinition-C4BB-Coverage.id,id,Σ,0..1,id,Logical id of this artifact
StructureDefinition-C4BB-Coverage,StructureDefinition-C4BB-Coverage.meta,meta,Σ,0..1,Meta,Metadata about the resource
StructureDefinition-C4BB-Coverage,StructureDefinition-C4BB-Coverage.implicitRules,implicitRules,?! Σ,0..1,uri,A set of rules under which this content was created
StructureDefinition-C4BB-Coverage,StructureDefinition-C4BB-Coverage.language,language,,0..1,code,Language of the resource contentLanguage  (Required)
StructureDefinition-C4BB-Coverage,StructureDefinition-C4BB-Coverage.text,text,I,0..1,Narrative,"Text summary of the resource, for human interpretation"
StructureDefinition-C4BB-Coverage,StructureDefinition-C4BB-Coverage.contained,contained,,0..*,Resource,"Contained, inline Resources"
StructureDefinition-C4BB-Coverage,StructureDefinition-C4BB-Coverage.extension,extension,,0..*,Extension,Additional Content defined by implementations
StructureDefinition-C4BB-Coverage,StructureDefinition-C4BB-Coverage.modifierExtension,modifierExtension,?!,0..*,Extension,Extensions that cannot be ignored
StructureDefinition-C4BB-Coverage,StructureDefinition-C4BB-Coverage,Coverage,,0..*,Coverage,Insurance or medical plan or a payment agreement
StructureDefinition-C4BB-Coverage,StructureDefinition-C4BB-Coverage,id,Σ,0..1,string,Logical id of this artifact
StructureDefinition-C4BB-Coverage,StructureDefinition-C4BB-Coverage,meta,SΣ,1..1,Meta,Metadata about the resource
StructureDefinition-C4BB-Coverage,StructureDefinition-C4BB-Coverage,id,,0..1,string,Unique id for inter-element referencing
StructureDefinition-C4BB-Coverage,StructureDefinition-C4BB-Coverage,extension,,0..*,Extension,"Additional content defined by implementationsSlice: Unordered, Open by value:url"
StructureDefinition-C4BB-Coverage,StructureDefinition-C4BB-Coverage,versionId,Σ,0..1,id,Version specific identifier
StructureDefinition-C4BB-Coverage,StructureDefinition-C4BB-Coverage,lastUpdated,SΣ,1..1,instant,When the resource version last changed
StructureDefinition-C4BB-Coverage,StructureDefinition-C4BB-Coverage,source,Σ,0..1,uri,Identifies where the resource comes from
StructureDefinition-C4BB-Coverage,StructureDefinition-C4BB-Coverage,profile,Σ,1..*,(Slice Definition),"Profiles this resource claims to conform toSlice: Unordered, Open by pattern:$this"
