Resource,Nesting,Resource Content Name,Flags,Cardinality,Datatype,Description
Account,Account.id,id,Σ,0..1,id,Logical id of this artifact
Account,Account.meta,meta,Σ,0..1,Meta,Metadata about the resource
Account,Account.implicitRules,implicitRules,?! Σ,0..1,uri,A set of rules under which this content was created
Account,Account.language,language,,0..1,code,Language of the resource contentLanguage  (Required)
Account,Account.text,text,I,0..1,Narrative,"Text summary of the resource, for human interpretation"
Account,Account.contained,contained,,0..*,Resource,"Contained, inline Resources"
Account,Account.extension,extension,,0..*,Extension,Additional Content defined by implementations
Account,Account.modifierExtension,modifierExtension,?!,0..*,Extension,Extensions that cannot be ignored
Account,Account,Account,TU,,DomainResource,"Tracks balance, charges, for patient or cost centerElements defined in Ancestors: id, meta, implicitRules, language, text, contained, extension, modifierExtension"
Account,Account.identifier,identifier,Σ,0..*,Identifier,Account number
Account,Account.identifieruse,use,?!Σ,0..1,code,usual | official | temp | secondary | old (If known)IdentifierUse (Required)
Account,Account.identifiertype,type,Σ,0..1,CodeableConcept,Description of identifierIdentifierType (Extensible)
Account,Account.identifiertype.coding,type.coding,Σ,0..*,Coding,Code defined by a terminology system
Account,Account.identifiertype.coding.system,type.coding.system,Σ,0..1,uri,Identity of the terminology system
Account,Account.identifiertype.coding.version,type.coding.version,Σ,0..1,string,Version of the system - if relevant
Account,Account.identifiertype.coding.code,type.coding.code,Σ,0..1,code,Symbol in syntax defined by the system
Account,Account.identifiertype.coding.display,type.coding.display,Σ,0..1,string,Representation defined by the system
Account,Account.identifiertype.coding.userSelected,type.coding.userSelected,Σ,0..1,boolean,If this coding was chosen directly by the user
Account,Account.identifiertype.text,type.text,Σ,0..1,string,Plain text representation of the concept
Account,Account.identifiersystem,system,Σ,0..1,uri,The namespace for the identifier value
Account,Account.identifiervalue,value,Σ,0..1,string,The value that is unique
Account,Account.identifierperiod,period,Σ,0..1,Period,Time period when id is/was valid for use
Account,Account.identifierperiod.start,period.start,ΣI,0..1,dateTime,Starting time with inclusive boundary
Account,Account.identifierperiod.end,period.end,ΣI,0..1,dateTime,"End time with inclusive boundary, if not ongoing"
Account,Account.identifierassigner,assigner,Σ,0..1,Reference(Organization),Organization that issued id (may be just text)
Account,Account.status,status,?!Σ,1..1,code,active | inactive | entered-in-error | on-hold | unknownAccountStatus (Required)
Account,Account.type,type,Σ,0..1,CodeableConcept,"E.g. patient, expense, depreciationAccount Types (Example)"
Account,Account.typecoding,coding,Σ,0..*,Coding,Code defined by a terminology system
Account,Account.typecoding.system,coding.system,Σ,0..1,uri,Identity of the terminology system
Account,Account.typecoding.version,coding.version,Σ,0..1,string,Version of the system - if relevant
Account,Account.typecoding.code,coding.code,Σ,0..1,code,Symbol in syntax defined by the system
Account,Account.typecoding.display,coding.display,Σ,0..1,string,Representation defined by the system
Account,Account.typecoding.userSelected,coding.userSelected,Σ,0..1,boolean,If this coding was chosen directly by the user
Account,Account.typetext,text,Σ,0..1,string,Plain text representation of the concept
Account,Account.name,name,Σ,0..1,string,Human-readable label
