Resource,Nesting,Resource Content Name,Flags,Cardinality,Datatype,Description
Account,Account.id,id,Σ,0..1,id,Logical id of this artifact
Account,Account.meta,meta,Σ,0..1,Meta,Metadata about the resource
Account,Account.implicitRules,implicitRules,?! Σ,0..1,uri,A set of rules under which this content was created
Account,Account.language,language,,0..1,code,Language of the resource contentLanguage  (Required)
Account,Account.text,text,I,0..1,Narrative,"Text summary of the resource, for human interpretation"
Account,Account.contained,contained,,0..*,Resource,"Contained, inline Resources"
Account,Account.extension,extension,,0..*,Extension,Additional Content defined by implementations
Account,Account.modifierExtension,modifierExtension,?!,0..*,Extension,Extensions that cannot be ignored
Account,Account,Account,,,DomainResource,"Tracks balance, charges, for patient or cost centerElements defined in Ancestors: id, meta, implicitRules, language, text, contained, extension, modifierExtension"
Account,Account.identifier,identifier,Σ,0..*,Identifier,Account number
Account,Account.status,status,?!Σ,0..1,code,active | inactive | entered-in-errorAccountStatus (Required)
Account,Account.type,type,Σ,0..1,CodeableConcept,"E.g. patient, expense, depreciationAccount Types (Example)"
Account,Account.name,name,Σ,0..1,string,Human-readable label
Account,Account.subject,subject,Σ,0..1,Reference(Patient | Device | Practitioner | Location | HealthcareService | Organization),What is account tied to?
Account,Account.period,period,Σ,0..1,Period,Transaction window
Account,Account.active,active,Σ,0..1,Period,Time window that transactions may be posted to this account
Account,Account.balance,balance,,0..1,Money,How much is in account?
Account,Account.coverage,coverage,Σ,0..*,BackboneElement,"The party(s) that are responsible for covering the payment of this account, and what order should they be applied to the account"
Account,Account.coverage.coverage,coverage,Σ,1..1,Reference(Coverage),The party(s) that are responsible for covering the payment of this account
Account,Account.coverage.priority,priority,Σ,0..1,positiveInt,The priority of the coverage in the context of this account
Account,Account.owner,owner,Σ,0..1,Reference(Organization),Who is responsible?
Account,Account.description,description,Σ,0..1,string,Explanation of purpose/use
Account,Account.guarantor,guarantor,,0..*,BackboneElement,Responsible for the account
Account,Account.guarantor.party,party,,1..1,Reference(Patient | RelatedPerson | Organization),Responsible entity
Account,Account.guarantor.onHold,onHold,,0..1,boolean,Credit or other hold applied
Account,Account.guarantor.period,period,,0..1,Period,Guarrantee account during
ActivityDefinition,ActivityDefinition.id,id,Σ,0..1,id,Logical id of this artifact
ActivityDefinition,ActivityDefinition.meta,meta,Σ,0..1,Meta,Metadata about the resource
ActivityDefinition,ActivityDefinition.implicitRules,implicitRules,?! Σ,0..1,uri,A set of rules under which this content was created
ActivityDefinition,ActivityDefinition.language,language,,0..1,code,Language of the resource contentLanguage  (Required)
ActivityDefinition,ActivityDefinition.text,text,I,0..1,Narrative,"Text summary of the resource, for human interpretation"
ActivityDefinition,ActivityDefinition.contained,contained,,0..*,Resource,"Contained, inline Resources"
ActivityDefinition,ActivityDefinition.extension,extension,,0..*,Extension,Additional Content defined by implementations
ActivityDefinition,ActivityDefinition.modifierExtension,modifierExtension,?!,0..*,Extension,Extensions that cannot be ignored
