Resource,Nesting,Resource Content Name,Flags,Cardinality,Datatype,Description
StructureDefinition-us-core-allergyintolerance,StructureDefinition-us-core-allergyintolerance.id,id,Σ,0..1,id,Logical id of this artifact
StructureDefinition-us-core-allergyintolerance,StructureDefinition-us-core-allergyintolerance.meta,meta,Σ,0..1,Meta,Metadata about the resource
StructureDefinition-us-core-allergyintolerance,StructureDefinition-us-core-allergyintolerance.implicitRules,implicitRules,?! Σ,0..1,uri,A set of rules under which this content was created
StructureDefinition-us-core-allergyintolerance,StructureDefinition-us-core-allergyintolerance.language,language,,0..1,code,Language of the resource contentLanguage  (Required)
StructureDefinition-us-core-allergyintolerance,StructureDefinition-us-core-allergyintolerance.text,text,I,0..1,Narrative,"Text summary of the resource, for human interpretation"
StructureDefinition-us-core-allergyintolerance,StructureDefinition-us-core-allergyintolerance.contained,contained,,0..*,Resource,"Contained, inline Resources"
StructureDefinition-us-core-allergyintolerance,StructureDefinition-us-core-allergyintolerance.extension,extension,,0..*,Extension,Additional Content defined by implementations
StructureDefinition-us-core-allergyintolerance,StructureDefinition-us-core-allergyintolerance.modifierExtension,modifierExtension,?!,0..*,Extension,Extensions that cannot be ignored
StructureDefinition-us-core-allergyintolerance,StructureDefinition-us-core-allergyintolerance,AllergyIntolerance,I,0..*,AllergyIntolerance,Allergy or Intolerance (generally: Risk of adverse reaction to a substance)
StructureDefinition-us-core-allergyintolerance,StructureDefinition-us-core-allergyintolerance,id,Σ,0..1,string,Logical id of this artifact
StructureDefinition-us-core-allergyintolerance,StructureDefinition-us-core-allergyintolerance,meta,ΣI,0..1,Meta,Metadata about the resource
StructureDefinition-us-core-allergyintolerance,StructureDefinition-us-core-allergyintolerance,implicitRules,?!ΣI,0..1,uri,A set of rules under which this content was created
StructureDefinition-us-core-allergyintolerance,StructureDefinition-us-core-allergyintolerance,language,I,0..1,code,Language of the resource contentBinding: CommonLanguages (preferred)Max Binding: AllLanguages
StructureDefinition-us-core-allergyintolerance,StructureDefinition-us-core-allergyintolerance,text,I,0..1,Narrative,"Text summary of the resource, for human interpretation"
StructureDefinition-us-core-allergyintolerance,StructureDefinition-us-core-allergyintolerance,contained,,0..*,Resource,"Contained, inline Resources"
StructureDefinition-us-core-allergyintolerance,StructureDefinition-us-core-allergyintolerance,extension,I,0..*,Extension,Additional content defined by implementations
StructureDefinition-us-core-allergyintolerance,StructureDefinition-us-core-allergyintolerance,modifierExtension,?!I,0..*,Extension,Extensions that cannot be ignored
StructureDefinition-us-core-allergyintolerance,StructureDefinition-us-core-allergyintolerance,identifier,ΣI,0..*,Identifier,External ids for this item
StructureDefinition-us-core-allergyintolerance,StructureDefinition-us-core-allergyintoleranceuse,use,?!Σ,0..1,code,usual | official | temp | secondary | old (If known)IdentifierUse (Required)
StructureDefinition-us-core-allergyintolerance,StructureDefinition-us-core-allergyintolerancetype,type,Σ,0..1,CodeableConcept,Description of identifierIdentifierType (Extensible)
StructureDefinition-us-core-allergyintolerance,StructureDefinition-us-core-allergyintolerancetype.coding,type.coding,Σ,0..*,Coding,Code defined by a terminology system
StructureDefinition-us-core-allergyintolerance,StructureDefinition-us-core-allergyintolerancetype.coding.system,type.coding.system,Σ,0..1,uri,Identity of the terminology system
StructureDefinition-us-core-allergyintolerance,StructureDefinition-us-core-allergyintolerancetype.coding.version,type.coding.version,Σ,0..1,string,Version of the system - if relevant
StructureDefinition-us-core-allergyintolerance,StructureDefinition-us-core-allergyintolerancetype.coding.code,type.coding.code,Σ,0..1,code,Symbol in syntax defined by the system
StructureDefinition-us-core-allergyintolerance,StructureDefinition-us-core-allergyintolerancetype.coding.display,type.coding.display,Σ,0..1,string,Representation defined by the system
StructureDefinition-us-core-allergyintolerance,StructureDefinition-us-core-allergyintolerancetype.coding.userSelected,type.coding.userSelected,Σ,0..1,boolean,If this coding was chosen directly by the user
StructureDefinition-us-core-allergyintolerance,StructureDefinition-us-core-allergyintolerancetype.text,type.text,Σ,0..1,string,Plain text representation of the concept
StructureDefinition-us-core-allergyintolerance,StructureDefinition-us-core-allergyintolerancesystem,system,Σ,0..1,uri,The namespace for the identifier value
StructureDefinition-us-core-allergyintolerance,StructureDefinition-us-core-allergyintolerancevalue,value,Σ,0..1,string,The value that is unique
StructureDefinition-us-core-allergyintolerance,StructureDefinition-us-core-allergyintoleranceperiod,period,Σ,0..1,Period,Time period when id is/was valid for use
StructureDefinition-us-core-allergyintolerance,StructureDefinition-us-core-allergyintoleranceperiod.start,period.start,ΣI,0..1,dateTime,Starting time with inclusive boundary
StructureDefinition-us-core-allergyintolerance,StructureDefinition-us-core-allergyintoleranceperiod.end,period.end,ΣI,0..1,dateTime,"End time with inclusive boundary, if not ongoing"
StructureDefinition-us-core-allergyintolerance,StructureDefinition-us-core-allergyintoleranceassigner,assigner,Σ,0..1,Reference(Organization),Organization that issued id (may be just text)
StructureDefinition-us-core-allergyintolerance,StructureDefinition-us-core-allergyintolerance,clinicalStatus,?!SΣI,0..1,CodeableConcept,active | inactive | resolvedBinding: AllergyIntoleranceClinicalStatusCodes (required)
StructureDefinition-us-core-allergyintolerance,StructureDefinition-us-core-allergyintolerancecoding,coding,Σ,0..*,Coding,Code defined by a terminology system
StructureDefinition-us-core-allergyintolerance,StructureDefinition-us-core-allergyintolerancecoding.system,coding.system,Σ,0..1,uri,Identity of the terminology system
StructureDefinition-us-core-allergyintolerance,StructureDefinition-us-core-allergyintolerancecoding.version,coding.version,Σ,0..1,string,Version of the system - if relevant
StructureDefinition-us-core-allergyintolerance,StructureDefinition-us-core-allergyintolerancecoding.code,coding.code,Σ,0..1,code,Symbol in syntax defined by the system
StructureDefinition-us-core-allergyintolerance,StructureDefinition-us-core-allergyintolerancecoding.display,coding.display,Σ,0..1,string,Representation defined by the system
StructureDefinition-us-core-allergyintolerance,StructureDefinition-us-core-allergyintolerancecoding.userSelected,coding.userSelected,Σ,0..1,boolean,If this coding was chosen directly by the user
StructureDefinition-us-core-allergyintolerance,StructureDefinition-us-core-allergyintolerancetext,text,Σ,0..1,string,Plain text representation of the concept
StructureDefinition-us-core-allergyintolerance,StructureDefinition-us-core-allergyintolerance,verificationStatus,?!SΣI,0..1,CodeableConcept,unconfirmed | confirmed | refuted | entered-in-errorBinding: AllergyIntoleranceVerificationStatusCodes (required)
StructureDefinition-us-core-allergyintolerance,StructureDefinition-us-core-allergyintolerancecoding,coding,Σ,0..*,Coding,Code defined by a terminology system
StructureDefinition-us-core-allergyintolerance,StructureDefinition-us-core-allergyintolerancecoding.system,coding.system,Σ,0..1,uri,Identity of the terminology system
StructureDefinition-us-core-allergyintolerance,StructureDefinition-us-core-allergyintolerancecoding.version,coding.version,Σ,0..1,string,Version of the system - if relevant
StructureDefinition-us-core-allergyintolerance,StructureDefinition-us-core-allergyintolerancecoding.code,coding.code,Σ,0..1,code,Symbol in syntax defined by the system
StructureDefinition-us-core-allergyintolerance,StructureDefinition-us-core-allergyintolerancecoding.display,coding.display,Σ,0..1,string,Representation defined by the system
StructureDefinition-us-core-allergyintolerance,StructureDefinition-us-core-allergyintolerancecoding.userSelected,coding.userSelected,Σ,0..1,boolean,If this coding was chosen directly by the user
StructureDefinition-us-core-allergyintolerance,StructureDefinition-us-core-allergyintolerancetext,text,Σ,0..1,string,Plain text representation of the concept
StructureDefinition-us-core-allergyintolerance,StructureDefinition-us-core-allergyintolerance,type,ΣI,0..1,code,allergy | intolerance - Underlying mechanism (if known)Binding: AllergyIntoleranceType (required)
StructureDefinition-us-core-allergyintolerance,StructureDefinition-us-core-allergyintolerance,category,ΣI,0..*,code,food | medication | environment | biologicBinding: AllergyIntoleranceCategory (required)
StructureDefinition-us-core-allergyintolerance,StructureDefinition-us-core-allergyintolerance,criticality,ΣI,0..1,code,low | high | unable-to-assessBinding: AllergyIntoleranceCriticality (required)
StructureDefinition-us-core-allergyintolerance,StructureDefinition-us-core-allergyintolerance,code,SΣI,1..1,CodeableConcept,Code that identifies the allergy or intoleranceBinding: US Core Common substances for allergy and intolerance documentation including refutations (extensible)
StructureDefinition-us-core-allergyintolerance,StructureDefinition-us-core-allergyintolerancecoding,coding,Σ,0..*,Coding,Code defined by a terminology system
StructureDefinition-us-core-allergyintolerance,StructureDefinition-us-core-allergyintolerancecoding.system,coding.system,Σ,0..1,uri,Identity of the terminology system
StructureDefinition-us-core-allergyintolerance,StructureDefinition-us-core-allergyintolerancecoding.version,coding.version,Σ,0..1,string,Version of the system - if relevant
StructureDefinition-us-core-allergyintolerance,StructureDefinition-us-core-allergyintolerancecoding.code,coding.code,Σ,0..1,code,Symbol in syntax defined by the system
StructureDefinition-us-core-allergyintolerance,StructureDefinition-us-core-allergyintolerancecoding.display,coding.display,Σ,0..1,string,Representation defined by the system
StructureDefinition-us-core-allergyintolerance,StructureDefinition-us-core-allergyintolerancecoding.userSelected,coding.userSelected,Σ,0..1,boolean,If this coding was chosen directly by the user
StructureDefinition-us-core-allergyintolerance,StructureDefinition-us-core-allergyintolerancetext,text,Σ,0..1,string,Plain text representation of the concept
StructureDefinition-us-core-allergyintolerance,StructureDefinition-us-core-allergyintolerance,patient,SΣI,1..1,Reference(US Core Patient Profile),Who the sensitivity is for
StructureDefinition-us-core-allergyintolerance,StructureDefinition-us-core-allergyintolerance,encounter,I,0..1,Reference(Encounter),Encounter when the allergy or intolerance was asserted
StructureDefinition-us-core-allergyintolerance,StructureDefinition-us-core-allergyintolerance,onset[x],I,0..1,,When allergy or intolerance was identified
StructureDefinition-us-core-allergyintolerance,StructureDefinition-us-core-allergyintolerance.onsetDateTime,onsetDateTime,,,dateTime,
StructureDefinition-us-core-allergyintolerance,StructureDefinition-us-core-allergyintolerance.onsetAge,onsetAge,,,Age,
StructureDefinition-us-core-allergyintolerance,StructureDefinition-us-core-allergyintolerance.onsetPeriod,onsetPeriod,,,Period,
StructureDefinition-us-core-allergyintolerance,StructureDefinition-us-core-allergyintolerance.onsetPeriodstart,start,ΣI,0..1,dateTime,Starting time with inclusive boundary
StructureDefinition-us-core-allergyintolerance,StructureDefinition-us-core-allergyintolerance.onsetPeriodend,end,ΣI,0..1,dateTime,"End time with inclusive boundary, if not ongoing"
StructureDefinition-us-core-allergyintolerance,StructureDefinition-us-core-allergyintolerance.onsetRange,onsetRange,,,Range,
StructureDefinition-us-core-allergyintolerance,StructureDefinition-us-core-allergyintolerance.onsetRangelow,low,Σ,0..1,SimpleQuantity,Low limit
StructureDefinition-us-core-allergyintolerance,StructureDefinition-us-core-allergyintolerance.onsetRangehigh,high,Σ,0..1,SimpleQuantity,High limit
StructureDefinition-us-core-allergyintolerance,StructureDefinition-us-core-allergyintolerance.onsetString,onsetString,,,string,
StructureDefinition-us-core-allergyintolerance,StructureDefinition-us-core-allergyintolerance,recordedDate,I,0..1,dateTime,Date first version of the resource instance was recorded
StructureDefinition-us-core-allergyintolerance,StructureDefinition-us-core-allergyintolerance,recorder,I,0..1,Reference(Practitioner | PractitionerRole | Patient | RelatedPerson),Who recorded the sensitivity
StructureDefinition-us-core-allergyintolerance,StructureDefinition-us-core-allergyintolerance,asserter,ΣI,0..1,Reference(Patient | RelatedPerson | Practitioner | PractitionerRole),Source of the information about the allergy
